-0.13435, 51.51395, Freedom, GB-London
-0.13435, 51.51395, Ophim, GB-London
-0.13435, 51.51395, Village, GB-London
-0.12993, 51.51373, Lab, GB-London
-0.13439, 51.51210, Abigail's Party: www.abigailsparty.com, GB-London
-0.20174, 51.58248, Voodoo Lounge, GB-London
-0.13632, 51.51352, Amber, GB-London
-0.18660, 51.41597, Utah, GB-London
-81.71389, 42.75315, Oscar, GB-London
-0.12774, 51.51189, Saint, GB-London
-0.15643, 51.51609, Home House, GB-London
-0.10203, 51.51961, Fluid, GB-London
-0.18907, 51.51825, Cherry Jam, GB-London
-0.14547, 51.51267, Hush, GB-London
-0.13253, 51.51568, Edge, GB-London
-0.08426, 51.51556, Vertigo, GB-London
-0.16546, 51.49572, Room, GB-London
-0.13014, 51.51544, Velvet Rooms, GB-London
-0.13141, 51.51341, Little Italy, GB-London
-0.09353, 51.47553, Red Star, GB-London
-0.13543, 51.51159, Titanic, GB-London
-0.10356, 51.52256, Dust, GB-London
-0.10356, 51.52256, Match Ec1, GB-London
-0.08283, 51.51752, G.E. Club, GB-London
-0.16826, 51.49371, Eclipse, GB-London
-0.18237, 51.48516, Ponana Fez, GB-London
-0.12972, 51.51588, First Out, GB-London
-0.13313, 51.46358, Pentagon, GB-London
-0.20350, 51.51751, Manor, GB-London
-0.09849, 51.53904, Embassy, GB-London
-0.13951, 51.51277, Red, GB-London
-0.07181, 51.52137, Vibe Bar, GB-London
-0.13222, 51.51695, Hakkasan, GB-London
-81.26586, 43.00373, Stork Rooms, GB-London
-0.21196, 51.52478, Chilled Eskimo, GB-London
-0.38514, 51.47259, Oblivion, GB-London
-0.13695, 51.46229, So.Uk, GB-London
-0.16639, 51.45932, Fiction, GB-London
-0.14227, 51.51248, Noble Rot, GB-London
0.03387, 51.52503, Herbal, GB-London
-0.16111, 51.50166, Mandarin Bar, GB-London
-0.16120, 51.50167, Iso-Bar, GB-London
-0.08111, 51.52543, Cantaloupe, GB-London
-0.20634, 51.51759, Market Bar, GB-London
-0.21526, 51.53090, Paradise By Way Ofkensal Green, GB-London
-0.10285, 51.54317, 25 Canonbury Lane, GB-London
-0.13379, 51.51315, Sweet Suite, GB-London
-0.09048, 51.47392, Funky Munky, GB-London
-0.16776, 51.49353, Latitude, GB-London
-0.11134, 51.51462, 115 at Hodgsons, GB-London
-0.13038, 51.51330, Soho House, GB-London
-0.15539, 51.43803, Point, GB-London
-0.07448, 51.51908, Public Life, GB-London
-0.13406, 51.51762, Jerusalem, GB-London
-0.16741, 51.46081, South Circular, GB-London
-0.16798, 51.46073, Base, GB-London
-0.22557, 51.50262, Bush Bar & Grill, GB-London
-0.16721, 51.42749, The Cafe' Bar, GB-London
-0.08159, 51.52733, Hoxton Bar And Kitchen, GB-London
-0.12066, 51.51214, Orso, GB-London
-0.12242, 51.53300, Lincoln Lounge, GB-London
-0.10035, 51.52342, 19 20, GB-London
-0.16944, 51.42666, Spirit, GB-London
-0.32422, 51.58144, Thirteen Club, GB-London
-0.23527, 51.48605, Jacs Bar, GB-London
-0.08017, 51.52716, Mother, GB-London
-0.18889, 51.50238, Roof Garden, GB-London
-0.18715, 51.47950, Ink Bar, GB-London
-0.16628, 51.45900, Holy Drinkers, GB-London
-0.12698, 51.51514, Freud, GB-London
-0.13960, 51.51104, Momo (Kemia Bar), GB-London
-0.10709, 51.46322, Dogstar, GB-London
-0.10442, 51.52712, Cicada, GB-London
-0.13629, 51.51128, Circus, GB-London
-0.08365, 51.51625, One of Two, GB-London
-0.14226, 51.54028, Wkd, GB-London
-0.10362, 51.54313, Primos Lounge, GB-London
-0.20044, 51.48277, Diamonds & Pearls, GB-London
-0.09952, 51.61069, Centuria, GB-London
-0.13587, 51.51784, Nordic, GB-London
-0.14422, 51.50607, 10 Tokyo Joes, GB-London
-0.13891, 51.51306, Zebrano, GB-London
-0.12613, 51.51386, Detroit, GB-London
-0.13152, 51.51358, 6 Degrees, GB-London
-0.12593, 51.50915, Kudos, GB-London
-0.08340, 51.52598, Medicine, GB-London
-0.11589, 51.46339, Sw9 Bar Cafe, GB-London
-0.17805, 51.51633, Steam, GB-London
-0.12074, 51.51071, Knight's Bar, GB-London
-0.18007, 51.49984, 190 Queensgate, GB-London
-0.10335, 51.52281, 182 Mint, GB-London
-0.27326, 51.57049, Lunasa, GB-London
-0.08911, 51.47375, Snug, GB-London
-0.14041, 51.51016, Legends, GB-London
-0.00907, 51.48209, Time Gallery, GB-London
-0.01678, 51.47671, North Pole, GB-London
-0.13768, 51.46214, Rapscallion, GB-London
-0.19934, 51.51452, Westbourne Hotel, GB-London
-0.11392, 51.46350, Brixtonian Havana Club: www.brixtonian.co.uk, GB-London
-0.08027, 51.52732, Electricity Showrooms, GB-London
-0.14283, 51.51372, Paparazzi, GB-London
-0.08679, 51.51244, 1Lombard Street, GB-London
-0.15970, 51.50204, Fifth Floor Cafe, GB-London
-0.20503, 51.51591, Ground Floor Bar, GB-London
-0.13025, 51.45968, SAK, GB-London
-0.08949, 51.48600, Milk & Honey, GB-London
-0.19406, 51.51549, Source, GB-London
-0.12506, 51.51710, Old Crown, GB-London
-0.06733, 51.53113, 291 Gallery, GB-London
-0.13005, 51.45969, White House, GB-London
-0.13073, 51.51383, Sak, GB-London
-0.12880, 51.58321, Ice, GB-London
0.03553, 51.60375, Rockwell, GB-London
-0.13735, 51.49879, Zander, GB-London
-0.24356, 51.50402, West 12, GB-London
-0.15059, 51.46751, Equator, GB-London
-0.21486, 51.46628, Putney Bridge, GB-London
-0.12705, 51.51202, 2 Brydges Place, GB-London
-0.08034, 51.52448, Pool, GB-London
-0.13405, 51.51102, Sugar Reef, GB-London
-0.19724, 51.50888, Gate Bar, GB-London
-0.13618, 51.51118, Escape, GB-London
-0.15556, 51.50946, Trader Vic's, GB-London
-0.12918, 51.47846, Tea Rooms Des Artistes, GB-London
-0.13753, 51.51240, Kabaret, GB-London
-0.18425, 51.48413, Po Na Na, GB-London
-0.08609, 51.50579, Cynthia's Cyber Bar, GB-London
-0.08858, 51.47303, brb at the Grove, GB-London
-0.13849, 51.50686, Quaglino's, GB-London
-0.13412, 51.51610, Opium, GB-London
-0.08060, 51.52450, Grand Central, GB-London
-0.17356, 51.46167, Mess, GB-London
-0.11734, 51.53463, Babushka, GB-London
-0.08157, 51.52467, Home, GB-London
-0.13859, 51.50577, Avenue, GB-London
-0.13243, 51.51180, Teatro, GB-London
-0.09576, 51.52423, Play, GB-London
-0.15229, 51.54374, Lounge-Jing, GB-London
-0.13703, 51.51766, Long Bar at Sanderson, GB-London
-0.13858, 51.51201, Two Floors, GB-London
-0.08565, 51.52433, Sosho March, GB-London
-0.16630, 51.47192, Boho, GB-London
-0.13944, 51.50660, Che, GB-London
-0.17680, 51.47293, Face Bar, GB-London
-0.13058, 51.51347, Cafe Boheme, GB-London
-0.20584, 51.51555, 192, GB-London
-0.08438, 51.52466, Dragon, GB-London
-0.13648, 51.51021, 10 Room, GB-London
-0.09332, 51.51711, Nylon, GB-London
-0.13131, 51.51276, 230, GB-London
-0.17856, 51.55665, Toast, GB-London
-0.18892, 51.50237, Tenth Bar, GB-London
-0.14275, 51.52012, Mash, GB-London
-0.21827, 51.52871, William Fourth, GB-London
-0.15708, 51.47421, G II, GB-London
-0.02870, 51.47535, Paradise, GB-London
-0.13202, 51.50884, Tiger Tiger, GB-London
-0.19450, 51.50941, Notting Hill Arts Club, GB-London
-0.13926, 51.50759, 57 Jermyn St, GB-London
-0.13078, 51.51340, Manto, GB-London
-0.13353, 51.51206, Yard, GB-London
-0.09448, 51.52896, Progress Inn, GB-London
-0.18165, 51.41634, Common Room, GB-London
-0.19579, 51.55797, Elbow Room, GB-London
-0.13110, 51.51426, Candy, GB-London
-0.11081, 51.50173, Cubana, GB-London
-0.19602, 51.50917, Blag Club, GB-London
-0.13687, 51.51431, Yo! Below, GB-London
-0.07879, 51.52086, Light Bar & Restaurant, GB-London
-0.10379, 51.51904, Smiths of Smithfield, GB-London
-0.13364, 51.46338, Loaffers Bar, GB-London
-0.20154, 51.52293, Woody's, GB-London
-0.13883, 51.51104, Elysium, GB-London
-0.13418, 51.51462, Revolution, GB-London
